pH,Turbidity,Chloramine,Dissolved Oxygen,Solids,Potability
8.29,3.43,1.03,7.58,300.07,TRUE
8.28,4.1,0.82,7.45,536.39,TRUE
7.09,2.87,0.67,6.82,1183.07,TRUE
7.34,2.79,3.15,7.49,510.76,TRUE
7.07,3.18,0.12,7.49,981.32,TRUE
8.28,2.41,1.49,7.38,1093.55,TRUE
7.5,2.82,2.46,6.51,57.95,TRUE
8.03,4.12,1.95,7.4,118.85,TRUE
7.83,1.88,0.47,7.52,529.7,TRUE
6.83,4.99,2.67,7.0,237.52,TRUE
6.74,2.92,2.84,7.74,164.89,TRUE
8.05,2.85,1.69,6.56,277.43,TRUE
6.69,1.92,3.29,6.93,601.15,TRUE
7.5,2.89,1.46,6.99,398.95,TRUE
8.17,2.53,3.23,6.69,1009.78,TRUE
7.29,4.37,0.57,7.31,31.43,TRUE
7.52,3.97,1.82,7.4,80.56,TRUE
7.8,1.52,0.78,7.87,1052.1,TRUE
7.75,1.56,1.54,7.7,79.69,TRUE
7.41,3.71,1.22,7.96,611.21,TRUE
7.05,3.85,3.64,7.94,750.79,TRUE
8.43,1.34,1.15,6.99,1113.09,TRUE
7.73,3.08,2.66,7.71,322.35,TRUE
6.78,2.51,1.65,7.68,365.35,TRUE
6.83,2.54,0.98,6.65,233.84,TRUE
7.78,3.2,3.72,7.76,756.42,TRUE
6.99,2.59,1.73,6.63,464.58,TRUE
7.57,1.94,1.87,7.32,359.56,TRUE
7.07,3.06,0.84,6.92,874.11,TRUE
7.67,2.12,3.97,7.9,457.05,TRUE
6.56,1.74,1.3,7.24,519.62,TRUE
7.41,2.24,1.43,6.73,591.46,TRUE
8.05,1.25,1.85,6.68,271.17,TRUE
7.49,1.28,1.04,7.63,293.54,TRUE
7.39,4.36,3.66,7.61,710.34,TRUE
8.1,3.28,3.82,7.72,753.41,TRUE
7.04,2.2,0.46,6.66,982.69,TRUE
7.69,4.34,1.21,7.41,364.5,TRUE
8.41,2.47,1.85,6.86,173.7,TRUE
7.23,1.5,3.08,7.08,1142.82,TRUE
8.0,2.56,3.84,6.89,739.81,TRUE
6.62,1.85,1.94,6.99,959.35,TRUE
7.58,3.95,3.01,7.84,1003.0,TRUE
8.36,3.31,2.59,6.53,136.38,TRUE
6.79,1.74,2.9,7.99,583.91,TRUE
8.23,2.19,1.94,7.06,531.09,TRUE
7.34,3.46,3.23,7.43,538.69,TRUE
8.2,1.3,3.32,6.6,606.65,TRUE
7.26,3.36,2.36,7.28,950.74,TRUE
8.13,4.89,0.53,6.56,416.07,TRUE
8.4,2.4,3.46,7.15,1107.83,TRUE
6.63,4.93,2.55,7.08,701.58,TRUE
7.2,2.72,0.8,6.66,502.08,TRUE
8.07,1.05,3.75,7.41,205.19,TRUE
6.75,3.56,1.28,7.03,155.22,TRUE
8.47,2.41,2.1,7.08,431.33,TRUE
6.52,3.72,0.75,7.68,1128.98,TRUE
8.36,3.79,0.06,7.81,446.41,TRUE
8.26,4.77,2.21,7.56,419.43,TRUE
8.0,2.36,2.8,6.94,331.97,TRUE
7.5,2.23,0.18,6.89,169.11,TRUE
6.69,2.65,2.4,6.63,1176.97,TRUE
8.49,2.7,1.49,6.71,268.89,TRUE
8.44,2.01,0.84,6.57,1138.66,TRUE
8.44,1.19,3.64,7.19,505.95,TRUE
8.17,4.73,2.14,7.25,780.13,TRUE
6.75,3.89,2.69,7.33,51.15,TRUE
7.99,4.74,3.39,7.38,655.62,TRUE
6.92,4.16,3.13,6.98,346.78,TRUE
6.71,3.92,2.67,7.74,1043.32,TRUE
7.34,2.88,2.95,6.72,843.75,TRUE
6.6,3.54,3.49,7.48,57.07,TRUE
6.6,4.59,1.81,6.63,1190.19,TRUE
7.89,4.3,1.85,7.7,888.88,TRUE
8.01,4.17,3.7,7.2,193.39,TRUE
6.6,1.05,1.19,6.88,81.24,TRUE
6.82,4.02,3.87,6.85,109.7,TRUE
7.36,4.22,1.14,7.97,575.31,TRUE
7.8,4.29,1.5,6.8,63.52,TRUE
7.8,1.47,2.04,7.06,156.06,TRUE
8.31,1.15,3.31,7.93,332.33,TRUE
7.68,3.8,1.15,7.15,307.47,TRUE
8.45,1.6,0.77,7.01,233.83,TRUE
7.42,4.89,1.61,7.45,94.44,TRUE
8.48,3.41,0.06,7.6,32.97,TRUE
7.4,2.24,0.29,6.64,153.78,TRUE
7.51,1.79,1.4,7.28,1089.53,TRUE
7.15,1.74,1.64,7.87,330.96,TRUE
7.27,1.16,1.52,7.51,625.25,TRUE
7.5,3.35,1.16,7.12,885.98,TRUE
7.25,4.16,2.95,7.46,54.77,TRUE
6.95,1.27,0.66,6.88,819.42,TRUE
6.59,4.04,2.21,7.62,15.37,TRUE
7.16,3.17,0.71,7.21,507.63,TRUE
7.11,4.78,0.83,6.98,1176.29,TRUE
7.97,4.45,1.64,6.81,868.87,TRUE
6.75,3.57,3.88,6.71,8.51,TRUE
6.78,1.73,2.37,6.75,666.84,TRUE
7.6,3.78,3.4,7.95,1145.23,TRUE
7.56,4.85,2.4,6.62,45.63,TRUE
7.24,4.11,1.31,6.81,416.3,TRUE
8.01,2.16,1.5,6.84,330.53,TRUE
7.5,1.43,0.86,7.27,1017.47,TRUE
8.2,3.2,2.51,7.0,274.7,TRUE
8.43,1.37,2.02,6.82,760.67,TRUE
7.4,3.37,1.04,6.53,884.84,TRUE
8.06,4.53,2.26,7.14,193.63,TRUE
6.55,3.88,1.71,6.96,919.8,TRUE
6.99,4.53,3.99,6.75,661.52,TRUE
7.78,3.51,3.44,7.24,101.26,TRUE
7.43,3.01,2.79,7.29,674.53,TRUE
8.46,3.7,3.83,7.73,1106.32,TRUE
8.03,1.72,1.03,6.51,47.77,TRUE
7.81,3.67,2.82,7.19,887.09,TRUE
7.35,1.57,0.45,7.71,1154.28,TRUE
6.98,2.85,1.32,6.87,186.21,TRUE
7.7,2.21,2.85,7.76,1086.48,TRUE
7.72,4.04,3.6,7.46,969.41,TRUE
7.49,4.91,0.39,6.88,237.1,TRUE
7.97,4.51,2.58,7.69,218.76,TRUE
7.6,2.02,0.84,7.64,419.79,TRUE
6.68,3.23,1.77,7.81,425.57,TRUE
7.84,4.61,0.57,7.16,629.69,TRUE
7.42,4.42,1.39,6.82,1132.74,TRUE
8.26,4.18,1.34,7.39,159.81,TRUE
8.24,3.09,3.93,7.4,1103.45,TRUE
7.49,2.67,3.01,7.26,791.79,TRUE
6.84,4.24,1.07,7.39,939.97,TRUE
7.08,1.99,1.26,6.62,691.6,TRUE
7.46,4.64,3.69,6.91,893.64,TRUE
7.19,2.14,1.61,7.94,1080.56,TRUE
8.03,4.95,1.3,7.73,385.92,TRUE
6.55,4.97,1.27,6.87,554.8,TRUE
7.64,2.15,0.34,7.11,771.75,TRUE
7.59,2.5,1.13,7.92,31.55,TRUE
7.13,4.84,1.32,6.59,169.95,TRUE
7.2,3.98,0.73,7.83,45.45,TRUE
8.26,4.04,1.2,6.95,222.89,TRUE
6.89,2.52,3.13,7.61,161.11,TRUE
7.75,3.45,0.16,7.26,111.31,TRUE
6.96,4.48,3.38,7.94,558.71,TRUE
8.0,3.96,3.97,6.92,209.43,TRUE
7.76,1.57,3.67,6.75,631.71,TRUE
8.24,4.64,3.66,7.59,519.34,TRUE
7.63,2.7,3.9,7.5,1016.0,TRUE
8.21,3.83,0.13,6.83,527.33,TRUE
7.24,4.13,0.81,7.7,1006.4,TRUE
7.19,4.21,2.45,7.08,971.84,TRUE
8.04,3.13,2.85,7.37,883.02,TRUE
7.28,4.53,2.04,7.5,177.19,TRUE
8.24,4.64,0.91,7.41,1122.34,TRUE
8.45,4.34,0.54,6.95,108.85,TRUE
7.66,2.29,0.14,6.99,271.95,TRUE
8.43,1.23,1.98,7.29,32.93,TRUE
7.5,4.96,0.72,7.47,1058.05,TRUE
7.28,3.6,1.02,6.77,365.33,TRUE
7.81,1.98,1.81,7.92,847.94,TRUE
6.56,3.74,0.63,7.53,179.79,TRUE
7.61,3.0,3.63,7.06,1104.9,TRUE
7.91,4.59,3.75,7.27,201.57,TRUE
7.35,4.77,3.53,7.29,1127.24,TRUE
7.15,2.66,0.65,7.45,268.33,TRUE
8.39,3.52,0.9,7.87,1040.75,TRUE
7.92,1.01,0.67,7.9,711.44,TRUE
7.94,4.63,1.12,7.43,995.65,TRUE
7.94,1.01,1.31,7.39,327.63,TRUE
7.05,2.48,1.56,6.92,597.57,TRUE
7.7,3.1,1.38,7.97,204.61,TRUE
6.65,3.17,2.89,7.68,232.91,TRUE
7.61,3.18,3.53,7.32,850.24,TRUE
8.33,4.49,2.93,6.9,357.26,TRUE
8.16,2.64,3.54,7.01,36.07,TRUE
8.46,3.65,2.34,6.8,207.11,TRUE
6.98,3.84,2.06,6.56,884.29,TRUE
7.03,2.97,1.08,7.86,1039.37,TRUE
7.94,4.56,0.35,6.68,1041.42,TRUE
6.52,4.84,0.85,7.89,221.6,TRUE
8.18,2.18,1.01,7.65,696.86,TRUE
6.56,1.95,1.8,6.98,912.09,TRUE
8.01,4.95,0.07,6.69,18.27,TRUE
7.14,2.35,2.9,7.49,160.05,TRUE
8.21,1.58,0.02,7.53,689.99,TRUE
6.64,4.79,0.24,6.78,267.31,TRUE
6.72,4.33,3.38,7.9,391.7,TRUE
6.65,4.04,2.69,6.89,304.41,TRUE
7.11,2.63,0.3,6.9,688.78,TRUE
7.51,1.7,1.23,6.78,338.68,TRUE
8.24,4.16,0.6,7.67,199.65,TRUE
7.19,2.95,2.03,7.89,349.75,TRUE
6.74,1.31,2.32,6.79,813.56,TRUE
7.24,3.62,2.55,6.82,887.79,TRUE
7.36,2.53,3.89,7.23,1096.8,TRUE
6.79,4.5,0.04,7.66,274.33,TRUE
8.07,4.31,3.93,6.69,412.7,TRUE
6.86,2.28,0.97,7.08,1052.86,TRUE
7.4,2.81,2.69,6.51,565.92,TRUE
7.07,1.23,3.16,7.35,241.93,TRUE
6.87,2.57,0.18,6.73,143.5,TRUE
6.62,4.45,1.21,7.38,266.21,TRUE
8.44,4.62,0.77,6.55,891.99,TRUE
7.4,3.12,0.02,7.13,680.04,TRUE
6.84,2.68,3.9,6.71,112.95,TRUE
7.3,1.39,2.21,6.6,1028.03,TRUE
6.78,2.34,3.82,6.82,788.8,TRUE
8.22,1.89,2.94,7.83,1032.81,TRUE
7.25,4.89,0.02,7.84,752.83,TRUE
7.76,1.04,1.34,7.8,232.85,TRUE
8.05,3.89,2.34,6.5,542.92,TRUE
7.71,3.59,3.58,7.85,928.09,TRUE
7.97,4.79,0.57,6.96,1143.87,TRUE
7.55,3.87,0.58,7.77,974.23,TRUE
7.02,2.91,2.59,7.58,204.13,TRUE
8.32,4.66,1.32,6.6,891.93,TRUE
6.7,3.35,0.97,6.81,806.59,TRUE
7.54,2.24,3.74,7.93,1019.64,TRUE
6.85,1.85,1.12,7.13,135.34,TRUE
8.18,3.48,2.83,7.9,1192.66,TRUE
7.42,3.49,0.08,6.71,1030.98,TRUE
8.41,1.16,3.06,7.57,954.25,TRUE
7.33,1.26,3.11,7.02,877.96,TRUE
7.27,4.51,0.52,7.99,341.2,TRUE
6.52,4.29,1.22,7.31,1074.29,TRUE
7.1,2.66,1.94,7.05,69.49,TRUE
7.85,3.8,1.26,7.22,436.05,TRUE
7.51,2.99,1.27,6.97,245.1,TRUE
7.16,1.37,2.84,7.06,546.36,TRUE
7.37,4.41,2.29,7.02,895.85,TRUE
8.14,4.91,2.59,7.7,317.08,TRUE
7.14,4.99,3.34,6.95,328.07,TRUE
6.5,4.49,0.31,7.65,659.34,TRUE
8.01,3.19,1.46,7.05,289.64,TRUE
7.08,3.6,2.4,7.83,741.39,TRUE
7.1,1.95,0.9,6.87,1130.02,TRUE
7.18,1.65,1.41,7.85,933.42,TRUE
7.37,2.53,3.77,7.3,267.35,TRUE
7.4,2.06,2.59,7.86,1032.5,TRUE
8.39,3.97,2.25,7.15,453.79,TRUE
7.61,4.56,0.76,7.4,169.45,TRUE
6.99,1.51,2.05,7.77,877.98,TRUE
7.91,4.38,2.92,7.37,862.05,TRUE
6.95,4.78,3.89,7.04,268.78,TRUE
7.5,1.13,3.78,7.96,1161.68,TRUE
6.68,4.96,0.58,7.43,664.87,TRUE
7.69,3.33,3.48,6.94,1030.69,TRUE
6.91,1.22,3.32,7.64,715.11,TRUE
7.4,4.49,3.7,7.14,474.35,TRUE
7.64,1.7,3.81,6.97,1048.73,TRUE
7.56,2.25,2.18,7.01,937.35,TRUE
6.87,3.35,0.85,6.72,669.49,TRUE
6.83,4.46,1.22,7.76,184.66,TRUE
7.39,2.71,1.76,6.56,606.42,TRUE
7.0,2.17,3.6,6.83,371.9,TRUE
7.86,2.65,1.15,7.91,633.14,TRUE
6.79,2.4,0.39,7.32,307.73,TRUE
8.45,4.74,0.87,6.94,299.52,TRUE
7.64,4.17,1.88,7.95,280.97,TRUE
8.25,2.03,2.11,6.72,793.2,TRUE
7.52,1.31,2.29,7.13,567.34,TRUE
7.93,1.85,3.79,6.6,296.65,TRUE
7.81,3.4,1.47,6.67,112.31,TRUE
7.58,3.9,0.47,6.56,377.24,TRUE
8.1,3.66,3.31,6.57,632.93,TRUE
7.96,1.61,2.28,7.82,889.64,TRUE
8.43,4.87,0.22,7.02,221.64,TRUE
7.27,1.1,0.99,7.09,412.15,TRUE
6.61,4.5,1.43,6.56,548.96,TRUE
6.99,1.49,3.3,6.51,964.69,TRUE
7.49,4.3,2.57,7.21,79.82,TRUE
8.33,1.32,2.18,7.41,333.91,TRUE
6.52,2.57,1.66,7.51,970.82,TRUE
7.35,4.17,0.37,7.45,136.15,TRUE
7.62,4.65,0.98,7.82,1071.73,TRUE
8.48,1.96,2.36,7.45,394.64,TRUE
7.21,4.08,3.93,6.79,697.98,TRUE
7.21,3.05,1.67,7.48,1114.59,TRUE
7.49,2.05,3.07,6.76,969.13,TRUE
6.67,3.4,0.21,7.53,300.9,TRUE
7.0,1.65,3.3,7.07,614.27,TRUE
7.92,2.07,0.12,7.73,806.4,TRUE
6.51,2.15,0.94,6.52,645.1,TRUE
8.25,1.02,0.85,7.21,580.94,TRUE
6.79,4.08,2.47,7.84,904.56,TRUE
6.89,1.64,2.87,6.88,101.76,TRUE
8.06,2.9,2.53,7.24,376.2,TRUE
6.83,1.32,1.82,7.5,1170.88,TRUE
6.84,1.09,2.94,6.99,9.67,TRUE
7.15,4.28,0.36,6.64,17.51,TRUE
7.05,3.43,2.09,7.92,87.55,TRUE
7.65,3.24,3.51,6.76,1135.02,TRUE
6.53,4.56,1.91,7.51,186.9,TRUE
7.91,3.12,2.26,6.77,668.52,TRUE
7.53,1.17,0.35,7.37,1089.74,TRUE
8.23,1.57,2.74,7.32,1075.76,TRUE
7.7,1.99,1.3,7.19,374.23,TRUE
6.6,2.79,1.41,6.57,899.92,TRUE
7.34,4.33,3.79,6.74,606.78,TRUE
7.36,2.25,1.86,7.23,21.01,TRUE
7.51,4.9,1.74,7.66,393.11,TRUE
8.27,1.82,0.42,6.73,40.8,TRUE
7.94,3.5,3.21,7.36,273.79,TRUE
8.04,3.35,1.63,6.57,1014.76,TRUE
8.19,4.0,2.11,7.16,807.8,TRUE
8.49,2.46,3.37,7.39,981.48,TRUE
7.68,4.7,1.83,6.84,94.96,TRUE
7.98,1.9,1.22,7.62,776.37,TRUE
7.71,3.36,3.37,7.73,552.68,TRUE
7.48,4.23,0.1,7.44,200.76,TRUE
8.28,3.34,2.15,7.7,466.26,TRUE
7.06,1.54,0.2,7.43,562.08,TRUE
6.62,2.66,3.85,6.99,744.35,TRUE
7.98,1.39,2.83,6.56,264.63,TRUE
6.56,4.06,0.39,6.62,608.88,TRUE
7.65,1.88,1.79,6.97,462.17,TRUE
6.68,3.11,1.23,7.5,1045.16,TRUE
7.38,2.89,0.03,7.62,211.13,TRUE
7.29,2.93,3.47,7.94,707.3,TRUE
6.63,3.67,0.93,6.63,115.51,TRUE
7.63,1.58,0.91,6.7,263.21,TRUE
7.4,4.72,3.61,7.56,894.43,TRUE
7.29,4.04,0.2,6.73,650.4,TRUE
6.56,2.18,2.74,7.65,277.66,TRUE
8.41,1.51,3.65,7.72,32.74,TRUE
7.99,4.96,0.71,6.52,1153.48,TRUE
6.86,1.58,2.24,6.66,1082.74,TRUE
7.59,4.02,2.24,7.12,886.19,TRUE
7.38,4.13,3.8,6.8,682.2,TRUE
7.49,4.37,0.81,7.84,563.56,TRUE
7.92,4.01,0.62,7.38,300.77,TRUE
6.7,4.22,0.34,6.77,915.06,TRUE
8.2,3.02,1.52,6.99,1194.54,TRUE
7.71,2.51,0.03,6.83,140.98,TRUE
6.67,1.25,2.79,6.89,1143.21,TRUE
6.85,4.06,0.04,7.64,740.97,TRUE
8.19,2.39,1.09,7.48,345.93,TRUE
8.07,2.88,1.03,7.43,369.93,TRUE
7.71,3.46,2.73,7.75,771.31,TRUE
8.05,4.4,3.94,6.88,394.81,TRUE
8.48,1.31,1.68,7.19,643.72,TRUE
7.25,2.47,0.98,7.99,865.46,TRUE
8.31,2.74,1.99,7.63,1111.61,TRUE
7.24,3.33,2.64,6.75,976.25,TRUE
6.91,2.02,0.4,7.84,741.99,TRUE
8.45,4.97,2.6,6.62,46.47,TRUE
8.16,2.18,0.36,6.97,88.83,TRUE
8.35,2.86,1.63,7.03,586.66,TRUE
6.54,1.43,2.13,6.91,707.78,TRUE
8.24,3.95,0.16,7.69,91.29,TRUE
6.51,4.75,0.21,7.49,1103.1,TRUE
6.81,3.29,0.81,7.63,984.91,TRUE
6.84,2.7,2.35,7.95,84.36,TRUE
6.85,2.66,0.52,7.22,1024.57,TRUE
6.73,3.59,0.04,6.9,407.65,TRUE
6.92,1.94,0.97,6.6,603.77,TRUE
7.92,2.97,2.53,7.43,987.46,TRUE
7.09,2.78,1.84,7.7,142.14,TRUE
7.09,1.32,2.45,7.02,967.12,TRUE
7.99,1.99,1.08,6.64,51.35,TRUE
7.23,4.58,0.03,6.72,48.99,TRUE
6.63,1.48,1.41,6.63,1161.79,TRUE
8.33,4.32,1.99,6.6,917.06,TRUE
6.72,2.12,1.86,6.92,516.78,TRUE
7.94,4.39,3.15,6.51,810.86,TRUE
6.57,1.67,0.32,7.5,102.21,TRUE
7.64,1.46,2.84,7.2,644.32,TRUE
8.45,2.92,0.6,7.22,1168.04,TRUE
7.39,3.07,1.3,6.84,308.43,TRUE
7.78,3.67,3.41,6.66,888.34,TRUE
6.84,4.28,3.01,7.95,327.11,TRUE
7.03,4.61,2.7,7.07,891.07,TRUE
7.6,2.3,3.87,7.39,741.57,TRUE
8.27,1.93,2.59,7.39,294.79,TRUE
8.0,3.6,0.37,7.34,167.01,TRUE
7.2,4.04,1.71,7.21,595.03,TRUE
8.16,3.93,1.67,6.66,983.95,TRUE
7.92,3.01,0.03,7.18,611.96,TRUE
7.78,1.11,0.64,6.53,1119.55,TRUE
7.55,3.34,1.47,6.68,729.89,TRUE
8.31,4.99,0.84,7.84,485.92,TRUE
6.68,3.88,2.27,6.62,37.97,TRUE
8.09,1.24,1.91,7.57,1079.08,TRUE
8.31,3.68,3.64,7.0,227.96,TRUE
8.23,3.69,0.45,7.38,301.27,TRUE
7.37,3.81,3.24,7.1,916.22,TRUE
6.76,1.28,2.37,7.09,141.67,TRUE
8.06,4.81,3.81,7.25,965.78,TRUE
7.0,3.06,3.96,7.59,899.16,TRUE
7.63,3.76,3.4,7.97,706.76,TRUE
6.71,3.53,0.41,7.84,593.51,TRUE
7.08,3.72,2.63,6.82,548.36,TRUE
8.37,1.08,1.54,7.34,1029.3,TRUE
6.65,1.8,3.82,7.28,972.04,TRUE
7.69,4.21,3.61,7.6,957.58,TRUE
7.04,4.09,3.07,7.07,987.33,TRUE
8.13,3.99,0.26,7.46,727.08,TRUE
7.55,2.35,0.72,6.91,52.34,TRUE
6.95,4.13,0.7,7.66,331.5,TRUE
6.59,2.7,2.27,7.49,937.79,TRUE
7.67,2.38,1.36,7.82,316.4,TRUE
8.31,1.26,1.7,7.94,401.29,TRUE
8.36,4.07,3.7,7.38,819.03,TRUE
6.88,1.25,1.8,7.1,506.11,TRUE
8.46,2.57,3.44,7.55,1024.76,TRUE
8.47,1.64,0.95,6.66,261.98,TRUE
6.77,4.28,0.76,7.11,979.93,TRUE
8.42,4.04,2.64,7.78,150.72,TRUE
7.52,4.59,0.6,7.17,585.79,TRUE
7.22,1.38,3.78,7.74,474.67,TRUE
7.61,2.72,1.0,7.28,485.58,TRUE
7.87,3.97,0.92,7.74,199.67,TRUE
7.97,3.88,3.62,7.74,815.43,TRUE
7.06,4.78,2.41,7.11,726.07,TRUE
7.32,3.66,0.97,6.74,72.39,TRUE
6.59,2.38,2.35,7.08,789.03,TRUE
7.65,3.45,0.49,6.99,1018.58,TRUE
7.03,3.47,1.58,7.73,1153.39,TRUE
8.14,4.88,1.23,6.54,2.52,TRUE
6.67,3.27,3.9,7.56,65.43,TRUE
8.0,3.19,2.79,7.25,565.19,TRUE
8.03,4.7,1.01,6.75,937.66,TRUE
7.13,1.85,2.57,7.98,891.13,TRUE
7.02,1.63,2.45,7.6,15.84,TRUE
7.32,4.33,1.66,7.04,1064.69,TRUE
8.38,3.3,4.0,7.22,1093.26,TRUE
7.02,4.47,1.78,6.79,722.12,TRUE
7.52,3.75,3.78,7.01,1108.25,TRUE
7.4,1.52,3.31,7.42,379.74,TRUE
8.45,3.43,3.82,6.64,1069.65,TRUE
7.75,2.78,1.42,7.41,214.85,TRUE
6.96,1.47,0.33,6.55,1086.81,TRUE
6.61,4.61,0.56,6.96,825.4,TRUE
7.63,1.14,2.53,7.0,577.16,TRUE
6.61,4.42,3.09,6.97,498.12,TRUE
7.97,2.85,1.34,7.39,691.81,TRUE
7.78,2.78,2.3,7.45,760.65,TRUE
6.91,4.2,1.69,7.8,542.36,TRUE
7.94,4.85,2.97,6.97,256.73,TRUE
6.93,4.64,1.8,7.68,334.44,TRUE
7.36,3.68,3.17,7.59,1124.29,TRUE
6.73,4.74,0.45,7.18,756.31,TRUE
7.38,2.33,2.55,6.78,951.41,TRUE
6.81,4.05,3.43,6.8,733.66,TRUE
6.56,3.25,2.89,7.06,715.7,TRUE
7.74,4.87,0.21,7.44,516.19,TRUE
7.81,4.31,0.0,7.77,359.91,TRUE
7.13,3.42,0.06,6.51,810.37,TRUE
7.25,2.73,0.93,7.55,614.38,TRUE
8.23,4.01,3.04,6.94,425.36,TRUE
7.97,1.67,0.21,7.26,1055.73,TRUE
7.59,3.4,2.35,6.72,960.69,TRUE
8.32,4.57,1.67,6.75,801.52,TRUE
7.12,1.93,0.71,6.55,934.55,TRUE
7.14,3.99,1.21,6.94,242.34,TRUE
7.93,4.49,2.49,7.6,85.64,TRUE
7.04,3.71,2.46,7.45,889.26,TRUE
6.81,1.94,3.86,6.91,1106.84,TRUE
7.27,3.15,0.41,7.58,701.55,TRUE
8.21,3.67,1.86,7.68,1081.28,TRUE
7.57,1.38,1.02,7.37,682.66,TRUE
7.25,3.71,3.93,6.51,550.22,TRUE
6.83,2.19,1.28,7.65,602.09,TRUE
7.14,2.26,1.8,7.95,476.7,TRUE
6.58,4.04,2.87,6.9,604.6,TRUE
7.19,1.52,1.3,7.72,890.46,TRUE
8.14,3.77,0.16,6.81,1150.3,TRUE
7.13,1.44,3.17,6.82,427.73,TRUE
7.58,3.42,1.97,7.62,173.47,TRUE
8.18,4.83,1.54,7.99,749.75,TRUE
6.97,3.17,2.21,6.81,493.61,TRUE
8.01,2.42,2.91,7.69,459.79,TRUE
8.41,2.63,1.87,7.77,329.65,TRUE
7.39,3.41,3.22,6.86,875.72,TRUE
7.73,3.48,2.3,7.34,334.69,TRUE
7.56,3.56,1.11,7.77,187.13,TRUE
7.26,2.01,3.38,7.49,95.49,TRUE
7.59,3.87,2.77,7.35,527.77,TRUE
7.81,4.38,1.64,7.74,74.38,TRUE
7.56,3.75,1.24,7.74,0.65,TRUE
6.51,2.71,2.61,7.76,511.13,TRUE
8.48,4.79,0.15,6.7,820.69,TRUE
7.83,2.47,2.52,7.92,1102.01,TRUE
7.56,1.44,3.73,7.09,974.44,TRUE
7.21,4.7,4.0,7.94,894.23,TRUE
7.24,1.35,1.54,7.59,287.23,TRUE
7.77,3.84,2.06,7.8,858.3,TRUE
7.72,2.18,2.76,7.75,941.73,TRUE
8.33,4.7,2.24,7.14,915.65,TRUE
7.67,2.34,3.43,7.58,419.84,TRUE
7.98,2.89,2.29,6.96,227.85,TRUE
7.37,1.48,0.77,7.78,104.88,TRUE
8.22,4.32,0.09,6.86,941.29,TRUE
8.39,4.77,3.75,7.02,771.51,TRUE
7.57,1.66,0.09,6.66,609.48,TRUE
7.38,2.25,1.19,7.78,127.87,TRUE
8.15,2.54,1.16,6.74,197.06,TRUE
8.03,1.59,0.69,6.71,175.91,TRUE
7.98,3.68,1.27,7.74,855.13,TRUE
8.05,1.24,3.18,7.8,1194.06,TRUE
7.67,4.32,1.86,6.9,832.1,TRUE
8.24,2.41,3.32,7.76,1137.71,TRUE
6.89,4.11,2.65,7.19,1057.85,TRUE
7.24,4.08,2.15,7.92,336.98,TRUE
7.61,2.67,1.15,6.71,257.56,TRUE
6.62,3.15,0.55,6.56,48.09,TRUE
6.73,4.25,1.09,6.7,807.59,TRUE
8.21,3.11,1.64,7.9,373.92,TRUE
6.65,3.56,0.47,7.75,926.12,TRUE
7.29,1.73,1.18,7.95,907.84,TRUE
8.02,4.06,0.09,7.88,497.29,TRUE
6.86,4.12,1.31,7.86,120.35,TRUE
7.58,2.05,0.25,6.93,41.09,TRUE
7.82,4.1,2.06,7.17,1187.92,TRUE
7.6,1.66,2.62,7.39,83.57,TRUE
7.43,4.22,2.49,7.87,77.67,TRUE
